"","algorithm","iterations","swarm_size","design_pts","problem","obj_value","time"
"1","DE",50,20,3,"1",-1.16042812366004,0.386501312255859
"2","DE",50,20,3,"2",-8.17253480934504,0.384983539581299
"3","DE",50,20,3,"3",5.17208074803835,0.373896598815918
"4","DE",50,20,3,"4",-5.21931210916605,0.259069442749023
"5","DE",50,20,3,"5",-5.78580548450125,0.278627634048462
"6","DE",50,20,3,"6",-78.3213439480111,0.395270109176636
"7","DE",50,20,4,"1",-1.45882993918223,0.260177373886108
"8","DE",50,20,4,"2",-8.22079343771089,0.256680011749268
"9","DE",50,20,4,"3",32.9090292093739,0.294380187988281
"10","DE",50,20,4,"4",-6.79935089885801,0.3110671043396
"11","DE",50,20,4,"5",-Inf,0.100342512130737
"12","DE",50,20,4,"6",-50.8109245101836,0.342748165130615
"13","DE",50,20,5,"1",-1.88264639730131,0.243001222610474
"14","DE",50,20,5,"2",-8.24325704491499,0.264544486999512
"15","DE",50,20,5,"3",33.2163946464242,0.30521821975708
"16","DE",50,20,5,"4",-4.25026540430263,0.254384994506836
"17","DE",50,20,5,"5",-12.2461548604207,0.216531991958618
"18","DE",50,20,5,"6",-49.7725961109341,0.329436779022217
"19","DE",50,50,3,"1",-1.23749601620062,0.492417812347412
"20","DE",50,50,3,"2",-7.93884410375327,0.409676074981689
"21","DE",50,50,3,"3",5.88091915811781,0.554692983627319
"22","DE",50,50,3,"4",-5.0675324741334,0.401206970214844
"23","DE",50,50,3,"5",-4.72533124278659,0.464447021484375
"24","DE",50,50,3,"6",-75.3602479069581,0.632421016693115
"25","DE",50,50,4,"1",-1.43604319227151,0.396377563476562
"26","DE",50,50,4,"2",-7.99037876316236,0.399350881576538
"27","DE",50,50,4,"3",33.4644028439449,0.471967935562134
"28","DE",50,50,4,"4",-6.51416234950039,0.442212343215942
"29","DE",50,50,4,"5",-9.027958803453,0.419410705566406
"30","DE",50,50,4,"6",-53.0626391554091,0.512335777282715
"31","DE",50,50,5,"1",-1.50443800589057,0.247207403182983
"32","DE",50,50,5,"2",-8.79236897723211,0.274908065795898
"33","DE",50,50,5,"3",32.8409490605826,0.365314722061157
"34","DE",50,50,5,"4",-6.92200849789865,0.375354051589966
"35","DE",50,50,5,"5",-7.91850630390656,0.367304086685181
"36","DE",50,50,5,"6",-56.3470597822127,0.33686637878418
"37","DE",50,100,3,"1",-1.23156450797412,0.642668008804321
"38","DE",50,100,3,"2",-7.75221273660668,0.610271692276001
"39","DE",50,100,3,"3",6.14526667353785,0.844706296920776
"40","DE",50,100,3,"4",-2.90740911200345,0.587165594100952
"41","DE",50,100,3,"5",-6.60142071553636,0.684172391891479
"42","DE",50,100,3,"6",-77.9362378916596,0.85181736946106
"43","DE",50,100,4,"1",-1.31481812740149,0.618266582489014
"44","DE",50,100,4,"2",-7.98716134625452,0.607372045516968
"45","DE",50,100,4,"3",33.3950442273666,0.832097291946411
"46","DE",50,100,4,"4",-4.05518305660281,0.573365449905396
"47","DE",50,100,4,"5",-6.03590568199614,0.652821779251099
"48","DE",50,100,4,"6",-46.1998101406418,0.867722749710083
"49","DE",50,100,5,"1",-1.32380259630539,0.57294225692749
"50","DE",50,100,5,"2",-8.12963077106852,0.588140726089478
"51","DE",50,100,5,"3",33.7390236745067,0.697803974151611
"52","DE",50,100,5,"4",-4.23585152653059,0.483752727508545
"53","DE",50,100,5,"5",-6.9947498631289,0.55096960067749
"54","DE",50,100,5,"6",-47.058786368562,0.618327379226685
"55","DE",100,20,3,"1",-1.1343955241559,0.360259771347046
"56","DE",100,20,3,"2",-7.66288512776519,0.355010509490967
"57","DE",100,20,3,"3",5.36626726702971,0.482719898223877
"58","DE",100,20,3,"4",-0.330095911347025,0.356293439865112
"59","DE",100,20,3,"5",-3.57560639708774,0.401333570480347
"60","DE",100,20,3,"6",-76.0573471752236,0.52711033821106
"61","DE",100,20,4,"1",-1.15425587266699,0.407186031341553
"62","DE",100,20,4,"2",-7.67835879543975,0.372097730636597
"63","DE",100,20,4,"3",33.957306403372,0.421725273132324
"64","DE",100,20,4,"4",-2.11672728109257,0.346071481704712
"65","DE",100,20,4,"5",-4.12314286182726,0.396398067474365
"66","DE",100,20,4,"6",-40.6208217485866,0.473034143447876
"67","DE",100,20,5,"1",-1.25206557848298,0.356487035751343
"68","DE",100,20,5,"2",-7.79073040382543,0.346227645874023
"69","DE",100,20,5,"3",32.7667561466215,0.259634494781494
"70","DE",100,20,5,"4",-6.8692833932336,0.391852140426636
"71","DE",100,20,5,"5",-12.5768225361597,0.26422381401062
"72","DE",100,20,5,"6",-42.8026632739788,0.413838863372803
"73","DE",100,50,3,"1",-1.13805823245524,0.704902410507202
"74","DE",100,50,3,"2",-7.6549764978396,0.636963844299316
"75","DE",100,50,3,"3",6.21556520893455,0.860116243362427
"76","DE",100,50,3,"4",-1.21892391977819,0.662330627441406
"77","DE",100,50,3,"5",-4.56158878950546,0.734930753707886
"78","DE",100,50,3,"6",-68.71729983037,0.954370260238647
"79","DE",100,50,4,"1",-1.29189874508055,0.650127649307251
"80","DE",100,50,4,"2",-7.87552694286072,0.660993099212646
"81","DE",100,50,4,"3",33.9117288395485,0.78443455696106
"82","DE",100,50,4,"4",-4.32585281844644,0.580034017562866
"83","DE",100,50,4,"5",-4.48584558595608,0.689705610275269
"84","DE",100,50,4,"6",-41.8512086288302,0.861143589019775
"85","DE",100,50,5,"1",-1.3237208193586,0.630844831466675
"86","DE",100,50,5,"2",-7.85420167595067,0.633725166320801
"87","DE",100,50,5,"3",33.794053558685,0.783896207809448
"88","DE",100,50,5,"4",-6.69743135798198,0.461064100265503
"89","DE",100,50,5,"5",-Inf,0.162169456481934
"90","DE",100,50,5,"6",-43.5128606157323,0.984872579574585
"91","DE",100,100,3,"1",-1.14103962162039,1.09340858459473
"92","DE",100,100,3,"2",-7.60862249357127,1.10273575782776
"93","DE",100,100,3,"3",6.44552305207431,1.44552111625671
"94","DE",100,100,3,"4",-1.61734503760755,1.07634973526001
"95","DE",100,100,3,"5",-3.71356828451074,1.27310132980347
"96","DE",100,100,3,"6",-70.4234892780158,1.62507772445679
"97","DE",100,100,4,"1",-1.26392364411358,1.12129068374634
"98","DE",100,100,4,"2",-7.7840473650844,1.17081737518311
"99","DE",100,100,4,"3",33.8626408500515,1.41487336158752
"100","DE",100,100,4,"4",-2.9228664534064,1.07387185096741
"101","DE",100,100,4,"5",-4.04791742020811,1.25004076957703
"102","DE",100,100,4,"6",-43.4847363481807,1.47330403327942
"103","DE",100,100,5,"1",-1.27851779436485,1.13959264755249
"104","DE",100,100,5,"2",-7.75116217855715,1.14661812782288
"105","DE",100,100,5,"3",33.8646934646832,1.42203688621521
"106","DE",100,100,5,"4",-1.92926196411714,0.987914323806763
"107","DE",100,100,5,"5",-7.65236274191811,1.07976126670837
"108","DE",100,100,5,"6",-43.5166337899584,1.48888373374939
"109","DE",200,20,3,"1",-1.12703283792955,0.538374900817871
"110","DE",200,20,3,"2",-7.63155618894401,0.552920341491699
